iso3_country,Country Name,subsector,start_time,end_time,gas,emissions_quantity,Emssion_qty_avg_replaced,GDP per capita (current US$),Population,Unnamed: 10,Unnamed: 11,Unnamed: 12,Total_GDP,Emissions_Intensity,Emissions_per_capita,Avg_Intensity_2015_2024,log_GDP_pc,log_Emissions_Intensity,log_Emissions_per_capita
ARM,Armenia,bauxite-mining,2015,2015,co2e_100yr,0.0,25116.93002,3512.3935027670905,3004600,,,,10553337518.414,7.150944220860416,0.008359492118751248,73.72393933438771,8.164052993685441,1.967244406848509,-4.78435759311406
ARM,Armenia,bauxite-mining,2016,2016,co2e_100yr,0.0,25116.93002,3524.4247687470715,2992300,,,,10546136235.521862,7.12653317010056,0.008393854232530161,73.72393933438771,8.167472515759014,1.9638248847749378,-4.780255467982317
ARM,Armenia,bauxite-mining,2017,2017,co2e_100yr,0.0,25116.93002,3869.0537386775177,2979400,,,,11527458709.015797,6.491750106470536,0.008430197361884943,73.72393933438771,8.260765244156268,1.8705321563776829,-4.77593508353156
ARM,Armenia,bauxite-mining,2018,2018,co2e_100yr,0.0,25116.93002,4196.005623017693,2969000,,,,12457940694.73953,5.985914290061496,0.008459727187605254,73.72393933438771,8.341888309605302,1.7894090909286489,-4.772438341391234
ARM,Armenia,bauxite-mining,2019,2019,co2e_100yr,0.0,25116.93002,4196.005623017693,2962500,,,,12430666658.189917,5.985914290061496,0.008478288614345991,73.72393933438771,8.341888309605302,1.7894090909286489,-4.7702466520967395
ARM,Armenia,bauxite-mining,2020,2020,co2e_100yr,0.0,25116.93002,4268.6809330458345,2961500,,,,12641698583.215239,5.884002672947097,0.008481151450278574,73.72393933438771,8.359060143521054,1.7722372570128977,-4.769909042374354
ARM,Armenia,bauxite-mining,2021,2021,co2e_100yr,0.0,25116.93002,4685.179971285085,2962300,,,,13878908628.937807,5.36093174092323,0.008478861026904769,73.72393933438771,8.45215960829652,1.6791377922374304,-4.7701791392700725
ARM,Armenia,bauxite-mining,2022,2022,co2e_100yr,0.0,25116.93002,6571.974455450988,2969200,,,,19513506553.125072,3.8218240485045225,0.008459157355516637,73.72393933438771,8.790569592273615,1.3407278082603373,-4.772505701870069
ARM,Armenia,bauxite-mining,2023,2023,co2e_100yr,0.0,25116.93002,8159.0872096799585,2964300,,,,24185982215.6543,3.0783995040770273,0.00847314037715481,73.72393933438771,9.006887580142353,1.124409820391598,-4.7708540625152125
ARM,Armenia,bauxite-mining,2024,2024,co2e_100yr,0.0,25116.93002,8556.214069567193,3033500,,,,25955275380.03208,2.935519122801764,0.008279851663095434,73.72393933438771,9.054413089707818,1.076884310826133,-4.793930213753027
ATG,Antigua and Barbuda,bauxite-mining,2015,2015,co2e_100yr,0.0,25116.93002,16077.634076940634,89409,,,,1437485185.1851852,1.5622279932358945,0.2809217195136955,10.06680317077636,9.685184397388994,0.4461130031449564,-1.2696792263456234
ATG,Antigua and Barbuda,bauxite-mining,2016,2016,co2e_100yr,0.0,25116.93002,16556.85518015876,89969,,,,1489603703.7037034,1.5170109146149553,0.27917315986617613,10.06680317077636,9.714555505325308,0.41674189520864363,-1.2759230446411927
ATG,Antigua and Barbuda,bauxite-mining,2017,2017,co2e_100yr,0.0,25116.93002,16965.728827381565,90468,,,,1534855555.5555553,1.4804509889055244,0.2776333070256886,10.06680317077636,9.738950636942855,0.39234676359109594,-1.2814540751055636
ATG,Antigua and Barbuda,bauxite-mining,2018,2018,co2e_100yr,0.0,25116.93002,18273.427068491186,90926,,,,1661529629.6296296,1.374505719472241,0.27623485053779995,10.06680317077636,9.813203210790132,0.3180941897438191,-1.286503866974086
ATG,Antigua and Barbuda,bauxite-mining,2019,2019,co2e_100yr,0.0,25116.93002,18273.427068491186,91364,,,,1669533390.6856287,1.374505719472241,0.27491057768924304,10.06680317077636,9.813203210790132,0.3180941897438191,-1.2913094058708185
ATG,Antigua and Barbuda,bauxite-mining,2020,2020,co2e_100yr,0.0,25116.93002,15369.608225040141,91846,,,,1411637037.037037,1.6341945514967349,0.27346787034819153,10.06680317077636,9.640147346620278,0.49115005391367383,-1.2965711395302437
ATG,Antigua and Barbuda,bauxite-mining,2021,2021,co2e_100yr,0.0,25116.93002,17348.600698718186,92349,,,,1602125925.9259257,1.447778437937982,0.2719783648983746,10.06680317077636,9.761267130751799,0.37003026978215253,-1.302032756296801
ATG,Antigua and Barbuda,bauxite-mining,2022,2022,co2e_100yr,0.0,25116.93002,20105.198908516442,92840,,,,1866566666.6666665,1.2492753806758221,0.2705399614390349,10.06680317077636,9.908733712767459,0.22256368776649146,-1.3073354594847908
ATG,Antigua and Barbuda,bauxite-mining,2023,2023,co2e_100yr,0.0,25116.93002,21494.547400072708,93316,,,,2005785185.1851847,1.1685256522272731,0.2691599513481075,10.06680317077636,9.975554572652534,0.1557428278814174,-1.3124494610450517
ATG,Antigua and Barbuda,bauxite-mining,2024,2024,co2e_100yr,0.0,25116.93002,23542.452694557796,93772,,,,2207622874.074074,1.0668782197789515,0.26785106449686474,10.06680317077636,10.066560568018614,0.06473683251533699,-1.3173241820621153
AZE,Azerbaijan,bauxite-mining,2015,2015,co2e_100yr,0.0,25116.93002,5500.503646284862,9649341,,,,53076235354.74602,4.566296403960103,0.0026029684327665485,14.810636504758612,8.61259493907989,1.5187024614540603,-5.951102741876222
AZE,Azerbaijan,bauxite-mining,2016,2016,co2e_100yr,0.0,25116.93002,3880.685227683798,9757812,,,,37866996882.915695,6.472292532468844,0.002574032992232275,14.810636504758612,8.263767022097623,1.8675303784363284,-5.962281313545749
AZE,Azerbaijan,bauxite-mining,2017,2017,co2e_100yr,0.0,25116.93002,4147.198142322201,9854033,,,,40866627351.98167,6.056361224625721,0.00254889850886434,14.810636504758612,8.330188238782375,1.8011091617515769,-5.972093931207705
AZE,Azerbaijan,bauxite-mining,2018,2018,co2e_100yr,0.0,25116.93002,4739.794312340805,9939771,,,,47112470051.77007,5.299160335840755,0.00252691234234672,14.810636504758612,8.463749019726647,1.6675483808073042,-5.980757100030058
AZE,Azerbaijan,bauxite-mining,2019,2019,co2e_100yr,0.0,25116.93002,4739.794312340805,10024283,,,,47513039548.69462,5.299160335840755,0.0025056086325575605,14.810636504758612,8.463749019726647,1.6675483808073042,-5.989223566957723
AZE,Azerbaijan,bauxite-mining,2020,2020,co2e_100yr,0.0,25116.93002,4229.910649045028,10093121,,,,42693000000.0,5.937933943278581,0.0024885196580918824,14.810636504758612,8.349936148660023,1.7813612518739286,-5.9960672199375376
AZE,Azerbaijan,bauxite-mining,2021,2021,co2e_100yr,0.0,25116.93002,5408.045351750229,10137750,,,,54825411764.70589,4.64436379252465,0.002477564550319351,14.810636504758612,8.595643003736127,1.535654396797825,-6.000479197118016
AZE,Azerbaijan,bauxite-mining,2022,2022,co2e_100yr,0.0,25116.93002,7770.594223350996,10141756,,,,78807470588.2353,3.2323049303645868,0.0024765859107633826,14.810636504758612,8.958101917059254,1.1731954834746963,-6.000874275764446
AZE,Azerbaijan,bauxite-mining,2023,2023,co2e_100yr,0.0,25116.93002,7133.028380483284,10153958,,,,72428470588.23529,3.521215489443805,0.0024736098002375033,14.810636504758612,8.872491161028469,1.258806239505482,-6.002076697219259
AZE,Azerbaijan,bauxite-mining,2024,2024,co2e_100yr,0.0,25116.93002,7283.849907617904,10202830,,,,74315882352.94118,3.4483041713601414,0.0024617611015767195,14.810636504758612,8.893414834871592,1.237882565662359,-6.00687824959721
BDI,Burundi,bauxite-mining,2015,2015,co2e_100yr,0.0,25116.93002,254.40258522678766,11047580,,,,2810532912.499755,98.72906754312055,0.0022735232530563254,728.1727330971248,5.538917993469317,4.592379407064635,-6.086424512899611
BDI,Burundi,bauxite-mining,2016,2016,co2e_100yr,0.0,25116.93002,232.9378121001527,11239451,,,,2618093125.1468735,107.8267619737102,0.0022347114658892147,728.1727330971248,5.450771517083614,4.680525883450337,-6.103643112538114
BDI,Burundi,bauxite-mining,2017,2017,co2e_100yr,0.0,25116.93002,246.06072571418372,11506762,,,,2831362208.340392,102.07614379376831,0.0021827973864411206,728.1727330971248,5.50557835796598,4.6257190425679715,-6.127147974182492
